Node, run , hit , miss , und , Acc , Filtro 
1 ,0 ,410.0 ,97.0 ,23.0 ,0.312988264178 ,0.25
2 ,0 ,395.0 ,75.0 ,60.0 ,0.310618961981 ,0.25
3 ,0 ,387.0 ,65.0 ,78.0 ,0.302359095308 ,0.25
1 ,1 ,425.0 ,86.0 ,19.0 ,0.302237373697 ,0.25
2 ,1 ,393.0 ,75.0 ,62.0 ,0.321236801879 ,0.25
3 ,1 ,411.0 ,63.0 ,56.0 ,0.305687078032 ,0.25
1 ,2 ,436.0 ,81.0 ,13.0 ,0.312073708988 ,0.25
2 ,2 ,445.0 ,39.0 ,46.0 ,0.301451804351 ,0.25
3 ,2 ,440.0 ,44.0 ,46.0 ,0.353393542309 ,0.25
1 ,3 ,406.0 ,101.0 ,23.0 ,0.303382560715 ,0.25
2 ,3 ,411.0 ,61.0 ,58.0 ,0.310126145087 ,0.25
3 ,3 ,415.0 ,52.0 ,63.0 ,0.3338603467 ,0.25
1 ,4 ,418.0 ,101.0 ,11.0 ,0.313005979368 ,0.25
2 ,4 ,438.0 ,45.0 ,47.0 ,0.296207522166 ,0.25
3 ,4 ,396.0 ,46.0 ,88.0 ,0.295916366771 ,0.25
1 ,5 ,426.0 ,87.0 ,17.0 ,0.304770975325 ,0.25
2 ,5 ,401.0 ,71.0 ,58.0 ,0.310759452402 ,0.25
3 ,5 ,382.0 ,68.0 ,80.0 ,0.318582559702 ,0.25
1 ,6 ,422.0 ,94.0 ,14.0 ,0.308243448342 ,0.25
2 ,6 ,437.0 ,51.0 ,42.0 ,0.302054099908 ,0.25
3 ,6 ,444.0 ,44.0 ,42.0 ,0.320832947981 ,0.25
1 ,7 ,415.0 ,98.0 ,17.0 ,0.307028782771 ,0.25
2 ,7 ,438.0 ,54.0 ,38.0 ,0.301135566007 ,0.25
3 ,7 ,446.0 ,42.0 ,42.0 ,0.328925773281 ,0.25
1 ,8 ,421.0 ,90.0 ,19.0 ,0.289863973241 ,0.25
2 ,8 ,453.0 ,39.0 ,38.0 ,0.302251464322 ,0.25
3 ,8 ,465.0 ,26.0 ,39.0 ,0.318001428383 ,0.25
1 ,9 ,422.0 ,95.0 ,13.0 ,0.30269969361 ,0.25
2 ,9 ,438.0 ,50.0 ,42.0 ,0.307361417987 ,0.25
3 ,9 ,455.0 ,37.0 ,38.0 ,0.334833009566 ,0.25
1 ,10 ,415.0 ,98.0 ,17.0 ,0.301987675591 ,0.25
2 ,10 ,406.0 ,72.0 ,52.0 ,0.323910416848 ,0.25
3 ,10 ,439.0 ,34.0 ,57.0 ,0.309318109504 ,0.25
1 ,11 ,426.0 ,90.0 ,14.0 ,0.313495104338 ,0.25
2 ,11 ,387.0 ,77.0 ,66.0 ,0.314023147767 ,0.25
3 ,11 ,425.0 ,41.0 ,64.0 ,0.315829710728 ,0.25
1 ,12 ,420.0 ,96.0 ,14.0 ,0.299349771004 ,0.25
2 ,12 ,418.0 ,68.0 ,44.0 ,0.312131141416 ,0.25
3 ,12 ,439.0 ,44.0 ,47.0 ,0.331622628507 ,0.25
1 ,13 ,412.0 ,98.0 ,20.0 ,0.311763235934 ,0.25
2 ,13 ,420.0 ,62.0 ,48.0 ,0.313819738424 ,0.25
3 ,13 ,420.0 ,44.0 ,66.0 ,0.307379355897 ,0.25
1 ,14 ,412.0 ,102.0 ,16.0 ,0.32436209957 ,0.25
2 ,14 ,446.0 ,43.0 ,41.0 ,0.308584830713 ,0.25
3 ,14 ,446.0 ,41.0 ,43.0 ,0.358488188846 ,0.25
1 ,15 ,431.0 ,84.0 ,15.0 ,0.303436208182 ,0.25
2 ,15 ,379.0 ,89.0 ,62.0 ,0.324227438464 ,0.25
3 ,15 ,406.0 ,59.0 ,65.0 ,0.309830725596 ,0.25
1 ,16 ,421.0 ,92.0 ,17.0 ,0.304628684519 ,0.25
2 ,16 ,384.0 ,69.0 ,77.0 ,0.291447630615 ,0.25
3 ,16 ,408.0 ,59.0 ,63.0 ,0.300094230922 ,0.25
1 ,17 ,425.0 ,92.0 ,13.0 ,0.30962965644 ,0.25
2 ,17 ,438.0 ,49.0 ,43.0 ,0.329788692398 ,0.25
3 ,17 ,463.0 ,33.0 ,34.0 ,0.325476554501 ,0.25
1 ,18 ,428.0 ,91.0 ,11.0 ,0.316365882458 ,0.25
